Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
1926390,2022-01-11,EN,Selenium IDE - Basic of Test Automation + WebDriver locators,Development,Software Testing
4167254,2022-01-11,EN,PRTG Network Monitoring Course with LAB,IT Operations,Network & Security
4176106,2022-01-11,EN,ManageEngine OPManager Plus Network Monitoring Course,IT Operations,Network & Security
4189592,2022-01-11,EN,Build VMware vSphere LAB VCP Home Lab by VMware Workstation,IT Operations,IT Certifications
4266164,2022-01-11,EN,VMware vSAN: Deploy and Manage V7,IT Operations,Operating Systems & Servers
4176082,2022-01-11,EN,Active Directory & Group Policy Lab 2019,IT Operations,Operating Systems & Servers
3809336,2022-01-10,EN,"Mental Health First Aid Skills -",Personal Development,Stress Management
4090568,2022-01-10,EN,Mastering Microsoft Azure: Advanced Services,IT Operations,IT Certifications
2863390,2022-01-10,EN,Test Driven Development (TDD) - Beginners Essentials course,Development,Software Testing
3765070,2022-01-10,EN,Mastering Bitbucket Pipelines for CI and CD,IT Operations,IT Certifications
4132898,2022-01-10,EN,Tricentis Tosca Automation tool(From beginner to Advance),IT Operations,IT Certifications
3516002,2022-01-08,EN,"JBOSS EAP 7.3, Master Course - Project Based & Real Time",Development,Development Tools
2912472,2022-01-07,EN,APIs with Postman for Absolute Beginners,Development,Web Development
3735400,2022-01-07,EN,"Mastering BIND DNS",IT Operations,Network & Security
1188846,2022-01-07,EN,2D Game Artist: Learn GIMP For Game Art,Development,Game Development
3740582,2022-01-07,EN,"The Complete Java Development Bootcamp
",Development,Programming Languages
4397644,2022-01-07,EN,2022 Python Data Analysis & Visualization Masterclass,Development,Development Tools
3783522,2022-01-07,EN,Technical Analysis with Python for Algorithmic Trading,Development,Programming Languages
4007248,2022-01-07,EN,"API Crash Course: What is an API, how to create it & test it",Development,Software Engineering
3550066,2022-01-06,EN,E-Commerce,Personal Development,Entrepreneurship
3639976,2022-01-06,EN,"High-Level Synthesis for FPGA, Part 2 - Sequential Circuits",IT Operations,Hardware
4166516,2022-01-05,EN,Linear Algebra and Geometry 2,Development,Programming Languages
4025832,2022-01-06,EN,Linear Algebra and Geometry 1,Development,Programming Languages
2771350,2022-01-06,EN,Learning to Learn [Efficient Learning]: Zero to Mastery,Personal Development,Personal Growth
4331022,2022-01-05,EN,Learn To Build Powerful AI Chatbots From Scratch Using RASA,Development,Development Tools
4397122,2022-01-05,EN,SC-300: Microsoft Identity and Access Administrator,IT Operations,IT Certifications
4284660,2022-01-05,EN,SC-400 Course Microsoft Information Protection Administrator,IT Operations,IT Certifications
4015948,2022-01-04,EN,Unofficial - Linux Redhat Certified Administrator (RHCSA 8),IT Operations,IT Certifications
3970438,2022-01-04,EN,The Swift Arcade Data Structures and Algorithms Bootcamp,Development,Programming Languages
4473978,2022-01-04,EN,Business Presentation Skills for Nonnative English Speakers,Leadership & Management,Communication
4373776,2022-01-04,EN,"Sales Job Interview Masterclass - Ace Your Sales Interview!",Workplace & Human Resources,Talent Management
4375894,2022-01-04,EN,Clickup - The Intermediate to Advanced Training Course,Project Management & Operations,Project Management Tools
3765160,2022-01-04,EN,Asana - Project Management - Intermediate to Advanced,Project Management & Operations,Project Management Tools
2488654,2022-01-04,EN,"The Complete 2021 PHP Full Stack Web Developer Bootcamp",Development,Web Development
4341188,2022-01-03,EN,Django 4 and Python Full-Stack Developer Masterclass,Development,Web Development
3821964,2022-01-03,EN,C# Interview Questions with Answers,Development,Web Development
1340852,2022-01-03,EN,Introduction to the AWS Command Line Interface (CLI),Cloud Computing,Cloud Certification
3617438,2022-01-03,EN,Financial Reporting w/Power BI,Data Science,Analytics
4299789,2022-01-03,EN,Power BI: Advanced Data Transformations and Modeling,Data Science,Analytics
4194204,2022-01-03,EN,Mastering DAX Calculations in Power BI,Data Science,Analytics
4267736,2022-01-02,EN,AWS Networking Design - In Depth,IT Operations,Network & Security
4362282,2022-01-31,ES,"Curso Testing para Android con JUnit, Mockito, Espresso, TDD",Development,Software Testing
2562684,2022-01-28,ES,ESPAÑOL - Curso Huawei HCIA Routing & Switching ENTRY,IT Operations,Network & Security
3132710,2022-01-28,ES,Curso completo del lenguaje Rust,Development,Programming Languages
4187290,2022-01-18,ES,"Master: Katalon Studio Test QA Automation (En Español)",Development,Software Testing
4164286,2022-01-18,ES,Analista certificado en Microsoft PowerBI DA-100 Teoría Test,IT Operations,IT Certifications
3886800,2022-01-18,ES,Angular: Pruebas unitarias con Jest,Development,Software Testing
4189168,2022-01-18,ES,Python TOTAL - Programador Avanzado en 16 días,Development,Programming Languages
2882628,2022-01-11,ES,Curso de Odoo 12 | 13 | 14 Funcional Módulo de CRM,IT Operations,Network & Security
3821314,2022-01-07,ES,Project Management Course: Master Project Scope Management,Project Management & Operations,Project Management Fundamentals
3284768,2022-01-06,ES,Forecasting y gestión de demanda usando Excel y R,Sales,Sales Skills & Tools
376328,2022-01-26,IT,5 principi per realizzare e tenere presentazioni persuasive,Leadership & Management,Communication
795804,2022-01-26,IT,Responsive Web Design - Il Corso Completo,Development,Web Development
874268,2022-01-26,IT,Come usare Bootstrap per sviluppare un sito web,Development,Web Development
1131984,2022-01-26,IT,Laravel (8): La guida pratica al framework php più usato,Development,Web Development
1230678,2022-01-26,IT,Wordpress. Base ed Avanzato,Development,Web Development
1274448,2022-01-26,IT,"IOS , XCODE e SWIFT  : Sviluppo di app per principianti",Development,Mobile Development
1315982,2022-01-26,IT,Corso di Excel e VBA: Codici a Barre e Automazione,Office Productivity,Spreadsheets
1350264,2022-01-26,IT,Android O: Sviluppa App da zero con Firebase,Development,Mobile Development
1394850,2022-01-26,IT,"Impariamo da zero SQL con Oracle, SQL Server e MySQL",Development,Database Design & Development
1424524,2022-01-26,IT,Unreal Engine 4 - Impara a creare un videogame,Development,Game Development
1445508,2022-01-26,IT,Master in Android Development: Diventa un App Developer,Development,Mobile Development
1585860,2022-01-26,IT,React e Redux: Sviluppa applicazioni da zero,Development,Web Development
1594932,2022-01-26,IT,"Creare Cloud Ready App con Spring Cloud, Docker e Kubernetes",Development,Web Development
1674398,2022-01-26,IT,Corso Completo di Web Marketing: Quello che Non Ti Aspettavi,Marketing,Digital Marketing
1689216,2022-01-26,IT,Corso base per macOS,Office Productivity,Operating Systems
1691738,2022-01-26,IT,BITCOIN ETHEREUM E BLOCKCHAIN IMPARA DA ZERO™ QUI (ITA),Finance & Accounting,Investing & Trading
1715732,2022-01-26,IT,"GDPR pratico: Wordpress, Woocommerce e MailChimp",IT Operations,Network & Security
1783532,2022-01-26,IT,CORSO COPYWRITING: SCRIVERE PER  VENDERE,Marketing,Content Marketing
1805310,2022-01-26,IT,Parlare in pubblico in 4 mosse,Personal Development,Personal Growth
1881602,2022-01-26,IT,Guida per Ottimizzare un SITO WEB con Tecniche e Analisi SEO,Marketing,Search Engine Optimization
1900468,2022-01-26,IT,"Corso React con Redux toolkit, hooks e Laravel come backend",Development,Web Development
1946258,2022-01-26,IT,Canva: Innamorati della tua comunicazione con un tool super!,Design,Graphic Design
2285161,2022-01-26,IT,Corso rapido su Luminar 3 da zero! In Italiano,Design,Design Tools
2305794,2022-01-26,IT,CONTENT MARKETING 2021 - Corso completo,Marketing,Content Marketing
2307226,2022-01-26,IT,"Instagram, il corso completo 2022 per imprese locali",Marketing,Social Media Marketing
2342866,2022-01-26,IT,Impara il C++ creando giochi in un'ora!,Development,Programming Languages
2354558,2022-01-26,IT,VBA - La Guida Completa,Office Productivity,Spreadsheets
2485346,2022-01-26,IT,Rispetta il GDPR col tuo sito Wordpress,Development,Web Development
2581330,2022-01-26,IT,Linux: Teoria e Pratica,IT Operations,Operating Systems & Servers
2600362,2022-01-26,IT,Corso introduttivo di programmazione in Scala,Development,Programming Languages
2675932,2022-01-26,IT,Uso pratico del computer,IT Operations,Network & Security
2743776,2022-01-26,IT,Impara le basi della programmazione con Python,Development,Programming Languages
2792586,2022-01-26,IT,Pillole di comunicazione aziendale,Leadership & Management,Communication
2799700,2022-01-26,IT,EMAIL MARKETING CON GET RESPONSE: LA GUIDA COMPLETA™,Marketing,Content Marketing
2825973,2022-01-26,IT,2022 - Corso Professionale Agile Scrum e Scrum Master,Project Management & Operations,Project Management Certifications
2829784,2022-01-26,IT,Meditazione e Mindfulness: Facile Corso Teorico-Pratico,Personal Development,Stress Management
2841612,2022-01-26,IT,"ActiveCampaign - il corso completo, da zero ad avanzato",Marketing,Marketing Analytics & Automation
2869264,2022-01-26,IT,Spatial databases,IT Operations,Operating Systems & Servers
2956974,2022-01-26,IT,Kotlin Programming Masterclass 2021,Development,Mobile Development
2997718,2022-01-26,IT,Microsoft Excel: da livello Base a Esperto - Guida Completa,Office Productivity,Spreadsheets
3092324,2022-01-26,IT,Corso per Impiegato Back Office con esempi report Excel,Leadership & Management,Communication
3119028,2022-01-26,IT,Mini-corso di Spagnolo,Personal Development,Language Learning
3138338,2022-01-26,IT,Analisi Commerciale e Reporting Excel,Data Science,Analytics
3145610,2022-01-26,IT,NeuroMarketing e Vendita. Master Class (corso professionale),Marketing,Marketing Strategy
3181176,2022-01-26,IT,Corso di programmazione Javascript,Development,Programming Languages
3182078,2022-01-26,IT,Microsoft Project 2019: dalla A alla Z,Project Management & Operations,Project Management Tools
3284928,2022-01-26,IT,Impara Le Basi del Bitcoin e della Blockchain,Finance & Accounting,Investing & Trading
3322274,2022-01-26,IT,Instagram Marketing 2021 - Il Corso Completo con Certificato,Marketing,Social Media Marketing
3371860,2022-01-26,IT,Corso di Dizione Italiana,Personal Development,Language Learning
3411850,2022-01-26,IT,Impara online l'olandese in olandese 1: la lingua olandese,Personal Development,Language Learning
3411870,2022-01-26,IT,Impara il francese in francese 1: corso di lingua francese,Personal Development,Language Learning
3483798,2022-01-26,IT,Fondamenti di gestione della produzione,Project Management & Operations,Project Management Fundamentals
3509598,2022-01-26,IT,Corso sui KPI in Analisi Commerciale,Leadership & Management,Strategy
3593910,2022-01-26,IT,Corso ActiveCampaign: Email Marketing Automation,Marketing,Marketing Analytics & Automation
3636924,2022-01-26,IT,CyberSecurity awareness per utenti,IT Operations,Network & Security
3696426,2022-01-26,IT,Corso Completo di Inglese: Inglese per Principianti,Personal Development,Language Learning
3710734,2022-01-26,IT,Adobe InDesign CC - il Corso Essenziale ed Efficace,Design,Design Tools
3713964,2022-01-26,IT,Corso di programmazione in C++ 20,Development,Programming Languages
3719884,2022-01-26,IT,PNL per tutti: Programmazione Neuro Linguistica fondamentale,Leadership & Management,Communication
3794026,2022-01-26,IT,PhpStorm master class. Il Miglior IDE php per fullstack dev.,Development,Programming Languages
3820750,2022-01-26,IT,Corso Completo di Spagnolo: Spagnolo per Principianti,Personal Development,Language Learning
3829330,2022-01-26,IT,Creiamo Applicazioni Responsive con Angular Material e RxJS,Development,Web Development
3844202,2022-01-26,IT,Corso di Power Point,Office Productivity,Presentations
3856284,2022-01-26,IT,Diventa un vero PROGRAMMATORE JAVA JUNIOR,Development,Programming Languages
3858188,2022-01-26,IT,Le basi del Social Media Manager,Marketing,Social Media Marketing
3863020,2022-01-26,IT,Corso CISCO CCNA 200 301 + LAB in ITALIANO,IT Operations,Network & Security
3882686,2022-01-26,IT,New PMP Test - Simulazione Esame 2021 in Italiano,Project Management & Operations,Project Management Certifications
3901532,2022-01-26,IT,Leadership e autorevolezza nelle riunioni online.,Leadership & Management,Management
3903878,2022-01-26,IT,VB.NET da zero ai database,IT Operations,Network & Security
3906774,2022-01-26,IT,Corso completo di Cinese (livello base),Personal Development,Language Learning
3916956,2022-01-26,IT,Workshop completo sul Routing tecnologia MikroTik RouterOS,IT Operations,Network & Security
3925694,2022-01-26,IT,Comunicazione Efficace Masterclass : Psicologia e Segreti,Leadership & Management,Communication
3973270,2022-01-26,IT,Comunicare un evento sul Web 2.0,Marketing,Social Media Marketing
3981910,2022-01-26,IT,"Google search, web scraping e trends.L'arte della ricerca.",Development,Web Development
4047288,2022-01-26,IT,Unreal Engine 4 e 5 in C++,Development,Programming Languages
4069482,2022-01-26,IT,valutazione Azionaria,Finance & Accounting,Financial Modeling & Analysis
4075140,2022-01-26,IT,Il tuo primo corso di Spagnolo (livello Base),Personal Development,Language Learning
4116932,2022-01-26,IT,Mindset vincente. Mentalità da leader per ottenere successo,Leadership & Management,Leadership
4131146,2022-01-26,IT,Impariamo da zero la piattaforma cloud di Microsoft Azure,Cloud Computing,Cloud Development
4156402,2022-01-26,IT,Corso Completo su Trading View in Italiano™,Finance & Accounting,Investing & Trading
4183792,2022-01-26,IT,Adobe InDesign CC: impaginare da Zero ad Esperto,Design,Design Tools
4185796,2022-01-26,IT,Sviluppo Web Wordpress: Corso completo con Plugin e Temi,Development,Web Development
4193638,2022-01-26,IT,WordPress pratico: impara oggi a realizzare il tuo Sito Web,Development,Web Development
4207208,2022-01-26,IT,Risk Management,IT Operations,Network & Security
4218092,2022-01-26,IT,Corso COMPLETO di PHP 8 - Masterclass,Development,Programming Languages
4218276,2022-01-26,IT,Email Marketing con AWeber,Marketing,Marketing Strategy
4229596,2022-01-26,IT,Guida base di Docker: configurazione per Php e Laravel 8,Development,Development Tools
4250106,2022-01-26,IT,Gestione del tempo - Fare il triplo nella metà del tempo™,Personal Development,Personal Growth
4262542,2022-01-26,IT,Brand Management - edizione PRO,Marketing,Marketing Strategy
4279360,2022-01-26,IT,Corso pratico di Pandas e Python con esempi per data mining,Data Science,Analytics
4296928,2022-01-26,IT,Introduzione alla Finanza,Finance & Accounting,Finance Fundamentals
4327120,2022-01-26,IT,"Linguaggio C, il corso PREMIUM con esercizi svolti 2022.",Development,Programming Languages
4327324,2022-01-26,IT,10 Hours Italian Course  + 243 audios - Complete Beginners,Personal Development,Language Learning
4329454,2022-01-26,IT,Network Vulnerability Assessment,IT Operations,Network & Security
4343156,2022-01-26,IT,Android Hacking & Pentesting Principianti Completo,IT Operations,Network & Security
4351382,2022-01-26,IT,Eccellenza nella Leadership - Esercizi pratici di leadership,Leadership & Management,Leadership
4351942,2022-01-26,IT,Laravel: La Guida Completa,Development,Web Development
4360470,2022-01-26,IT,Costruisci il tuo sito web con WordPress ed Elementor,Design,Web Design
4380458,2022-01-26,IT,Adobe Dimension CC: il 3D in modo semplice e immediato,Design,3D & Animation
4395448,2022-01-26,IT,Impariamo da zero il framework Spring Batch,Development,Web Development
4395704,2022-01-26,IT,Guida operativa Cryptovalute su Binance. Corso Completo A-Z™,Finance & Accounting,Investing & Trading
4412636,2022-01-26,IT,Corso Inglese Online: Imparare l'Inglese da 0 Senza Sforzo,Personal Development,Language Learning
4432370,2022-01-26,IT,Google Ads PRO 2022: la guida completa dalla A alla Z,Marketing,Paid Advertising
4451520,2022-01-26,IT,PHP 8 per lo Sviluppo di Applicazioni MVC,Development,Programming Languages
3859760,2022-01-31,JP,【続】Microsoft Power BI Desktop- 入門講座 DAX-TABLE FUNC.特訓編 Part2,Data Science,Analytics
4450352,2022-01-31,JP,デザインパターン１：デザインパターンを学ぶ準備とクラス図とファサードパターン,Development,Programming Languages
4335658,2022-01-31,JP,現役YouTuberが教える！iPadだけでプロ級の動画編集をする方法。【LumaFusion】,Design,Design Tools
4098832,2022-01-31,JP,iPadだけで手書きPOPを作る！超人気アプリ「Procreate」の使い方,Design,Design Tools
4131070,2022-01-31,JP,超人気アプリ「Procreate」でオシャレなデジタルアート！iPadでペンギンを描く方法,Design,Design Tools
4176306,2022-01-31,JP,「Affinity Designer」でプロ並みの年賀状を作る！初心者でもカンタン・オシャレなイラストを描く方法,Design,Graphic Design
2840896,2022-01-31,JP,【初心者】Adobe Premiere Pro CCたった1日でオリジナル動画を完成させよう！2021年版,Marketing,Video & Mobile Marketing
3231703,2022-01-31,JP,C#で描画をする方法：自由に線や〇を描いて自前のグラフなどを作る方法,Development,Programming Languages
